timestamp,set
1545385200000 ,i38&e04&p11;i23&e09&p28
1545682800000 ,c1;c5
1544855100000 ,i21&e11&p19
1545725700000 ,i38&p29;i38&p06;i03&p22
1545464700000 ,p01
1545819000000 ,i06&p35;i38&p11;i38&p15
1545730800000 ,i06&c3&p21&l2;i31&c1&p11&l2;i41&c1&p13&l1
1544952000000 ,c5&p06;c5&p08
1545468000000 ,i06&e04&p16;i07&e12&p10
1545539700000 ,i06;i47
1544782800000 ,i38&c4&p03&l2;i17&c5&p13&l3;i42&c5&p24&l3
1545219000000 ,i14&e11&p06;i43&e10&p28;i07&e10&p19
1545550500000 ,c1&p01&l2;c5&p07&l3
1545125100000 ,e10&c1&p25;e13&c1&p06
1545645900000 ,i02&l1;i06&l2;i66&l1;i82&l1
1545555600000 ,p03;p35;p32
1545201300000 ,c4&p35&l3;c5&p22&l3
1545281100000 ,e08&c3&p05&l2
1545811800000 ,p28
1545462000000 ,p08&l2;p18&l3;p26&l1
1545630600000 ,i30&p15
1545371100000 ,i42&e02&p10&l1;i44&e11&p09&l2;i03&e10&p21&l3;i43&e04&p10&l1
1545479700000 ,i46&c4&p35;i34&c5&p05;i10&c3&p15;i17&c3&p09
1544818800000 ,e04;e10;e08
1545558300000 ,l3;l4;l2
1544936400000 ,e04&l1;e08&l2
1545548400000 ,p07
1545816900000 ,c3&p22
1545030900000 ,i06&p01
1544929500000 ,c3&p06;c5&p09
1545595800000 ,e11&c4&p07;e08&c5&p16
1545021900000 ,e13&c5&p04&l3;e09&c1&p12&l2;e01&c1&p28&l3;e08&c5&p21&l4
1544874900000 ,p22&l1;p32&l3;p13&l2
1545638400000 ,c5&p20
1545728700000 ,c1&p32&l3
1545009600000 ,i37&e11&c3;i43&e10&c1;i43&e07&c1
1545488100000 ,l2
1545193800000 ,e08&p30&l2
1545679800000 ,c1&p17&l3;c1&p17&l4
1545769500000 ,c1&l2;c3&l2;c5&l1
1545544500000 ,c5&p35&l3
1545096300000 ,e08&c1&l2;e10&c5&l3;e04&c1&l1
1545375600000 ,e09&c1&p07&l4;e11&c5&p13&l2;e12&c5&p32&l4
1545269400000 ,i07&e10&p06&l3;i42&e05&p04&l1;i38&e11&p01&l2;i03&e08&p16&l2
1545046500000 ,e13&p19
1544871000000 ,i14&e04&p05;i05&e06&p35;i27&e04&p01;i06&e11&p20
1545710100000 ,i13&e11&p11
1545654300000 ,c1&p35
1545163800000 ,i02&p13&l1;i46&p35&l1
1545473400000 ,i38&p13&l1
1545636300000 ,p02;p18
1545336600000 ,p05;p35;p22
1545018900000 ,i08&e09&p10
1545469800000 ,e10&c5&p17&l4;e09&c5&p17&l2
1545564900000 ,c1&p12&l1;c5&p03&l3;c3&p35&l4
1545457800000 ,p01;p19
1545216600000 ,e10&c5&p07&l2;e08&c5&p11&l2
1545250200000 ,i38&p19
1545733200000 ,p15
1545713100000 ,c3&p25;c5&p32;c1&p15;c1&p05
1545379500000 ,c1&p03;c5&p22;c5&p15
1545104100000 ,e03&c5&p03;e01&c5&p06
1545274800000 ,p03
1545623700000 ,l2;l3
1545365100000 ,e08&c1&l2
1545814800000 ,c1&p02;c1&p09
1544883000000 ,l2
1545389700000 ,c5&p12;c5&p16
1545111600000 ,p35&l2
1545209400000 ,i19&e10;i05&e07;i47&e08
1545651300000 ,i02&p22&l2;i46&p29&l2;i43&p10&l1
1545382200000 ,p10;p25
1544908800000 ,c1
1545647700000 ,i43&p23&l1;i34&p05&l3
1545026400000 ,e10&c4&p28&l4;e13&c5&p02&l3;e11&c1&p28&l4
1545037800000 ,e10&c1&p18;e01&c5&p32
1545701400000 ,i06&e09&p05&l4;i46&e04&p35&l1;i38&e10&p18&l4
1545626700000 ,i38&p24;i01&p21;i07&p35;i06&p12
1544866800000 ,i82&e04&l1;i06&e08&l2
1545821100000 ,i47&c1&p21&l2;i10&c3&p03&l1;i23&c5&p02&l2;i05&c1&p19&l3
1545214500000 ,i41&p18&l2;i38&p22&l1;i55&p10&l1
1545141600000 ,i46&e11&c1
1545303300000 ,i38&c4;i74&c5;i46&c4
1545367200000 ,e10&p35;e04&p29;e13&p03
1545441900000 ,i65&e01&p19&l3;i43&e10&p24&l3
1545643800000 ,p25&l1
1545278400000 ,c1&p01;c1&p10;c5&p04;c1&p19
1545373500000 ,e10&p23
1544931900000 ,i06&e08&p13&l4;i92&e04&p03&l1;i06&e11&p29&l4;i63&e10&p01&l4
1545108000000 ,c1&p28&l3
1545704700000 ,i17&p26&l1
1544815200000 ,e08&c1;e10&c5
1545640800000 ,l2
1545450000000 ,i23&e10&p23&l1;i43&e10&p15&l1
1545708000000 ,i38&e09&p12&l4;i38&e10&p08&l4;i34&e09&p15&l2;i17&e10&p25&l2
1545537000000 ,i16&p03&l1;i06&p24&l3
1545289200000 ,e03&p10;e10&p32
1544961300000 ,e10&c4&p04&l4
1545283800000 ,p28;p18
1545615000000 ,e08&l2;e09&l2
1545074400000 ,e10;e08
1545807600000 ,i43&p19&l3;i23&p10&l4;i38&p07&l4
1544837700000 ,e01&c5&p04&l3;e04&c1&p20&l4
1544872800000 ,e10&p23&l2
1544924100000 ,i43&e07&p11&l2;i17&e04&p22&l4
1545766200000 ,e08
1545190800000 ,i34&c5&p16&l3;i06&c5&p08&l3;i05&c1&p04&l3;i43&c1&p11&l1
1545598200000 ,l2
1545735000000 ,i37&l3
1545252000000 ,c5&p04;c5&p17;c1&p16
1544957700000 ,i38&e09&p02;i38&e09&p07;i06&e04&p06
1545334500000 ,i06&p32;i38&p05;i16&p12
1545562800000 ,e07&c1&p07&l3;e04&c3&p05&l1;e08&c1&p21&l2;e08&c5&p06&l4
1545188700000 ,i48&e08&p08;i02&e01&p13;i41&e08&p23
1544728500000 ,e08&c1&p30&l2
1545477300000 ,l4;l2
1544884800000 ,e10;e08
1545715500000 ,e01&p05;e03&p02;e12&p13
1545161700000 ,i14&e05&p17
1545248100000 ,e04;e08
1545182700000 ,c5&p10;c5&p08;c5&p04
1544730600000 ,e08&l2
1545363000000 ,i02&e01&p01
1545339000000 ,i06&e10&p05&l1;i22&e04&p10&l1;i06&e08&p07&l2
1545099900000 ,c5&p16
1545593700000 ,i06&e10&l4;i23&e01&l3;i18&e01&l3
1545117900000 ,i06&e11&p26&l2;i41&e09&p18&l2
1545197100000 ,i02&p06;i21&p10;i27&p02;i41&p19
1545459900000 ,e08;e11;e10
1545783600000 ,e03&c1&p02&l3;e10&c1&p06&l1;e10&c1&p16&l3
1544927100000 ,p16
1545272700000 ,i38&e10&p20;i06&e04&p05
1545166200000 ,i45&p24&l2;i06&p13&l1
1545044400000 ,c1&p08;c5&p08
1545229200000 ,p01&l1;p05&l4
1545293100000 ,i07&e10&p24
1545438600000 ,e13;e08
1545513300000 ,c1
1544970300000 ,c5&l3;c5&l2;c1&l2
1545355500000 ,p03
1545369000000 ,i35;i16;i06;i23
1545528600000 ,c1&l2
1545490500000 ,p05
1544821200000 ,i06&e05&p10
1545305700000 ,e10&c5&p05;e11&c1&p19
1545618300000 ,i41&p21
1545402900000 ,i38&e04&p23&l4;i06&e08&p26&l4;i68&e12&p35&l3
1545525600000 ,c5&p17;c5&p13;c5&p16
1546520100000 ,p08
1546779000000 ,i46&e09&p10;i38&e11&p17
1547002500000 ,i03&p22&l3
1546830000000 ,i03&e10&p10&l3
1546608000000 ,e12&c5&p05&l3;e04&c5&p08&l1;e04&c1&p31&l4
1546850100000 ,i28&l1;i47&l3
1547039100000 ,i30&e01&p17
1546952400000 ,c4
1546942800000 ,i43&p02
1546979700000 ,i06&e04&p12;i30&e09&p10
1545942000000 ,i14&p24;i06&p21;i67&p16;i42&p02
1546743000000 ,e01&p20;e10&p11
1546460700000 ,c5&p14&l2
1546719900000 ,c1&p29;c5&p05;c1&p12
1546373700000 ,i38&e11&p01;i22&e04&p25;i02&e09&p16;i23&e10&p17
1546605300000 ,i17&e11&p05
1546200900000 ,p12
1546851900000 ,i01&e09&c1&p17;i38&e08&c4&p18;i17&e10&c5&p35
1545939900000 ,e10&l4;e08&l2
1546288500000 ,l2
1546891500000 ,e08
1546997700000 ,p04;p18
1546955700000 ,e10&c5&p18&l3;e08&c5&p24&l2;e12&c1&p18&l3
1546831800000 ,p29;p12;p23
1547041800000 ,i06&e11;i47&e11
1546747200000 ,i69&e04&p15&l1;i06&e11&p29&l4
1546632600000 ,e01;e13;e12
1546841700000 ,i46&p22
1546853700000 ,e01&p09
1546700100000 ,i47&p24
1546028400000 ,e09;e08
1547029500000 ,c1&p02;c1&p06;c5&p10
1546478700000 ,c1&p10
1547034000000 ,e05&c3&p12;e09&c5&p35
1546827900000 ,e12&c5&p06
1546652100000 ,i41&p01;i17&p20
1546543500000 ,e08&p20&l4
1546113300000 ,c3&p06;c5&p10;c1&p12
1546889400000 ,c1;c5
1546975200000 ,i47;i06
1546767000000 ,p15
1546824300000 ,e11&c1&p09
1547004900000 ,e08;e10
1546977600000 ,l2;l3
1546833600000 ,p13&l1;p35&l3
1546958700000 ,p18;p03
1546565400000 ,c1&p23&l3;c1&p35&l2
1546738500000 ,c1&p23;c5&p04;c6&p35
1546944600000 ,e10&c5&p01&l1;e04&c1&p24&l4
1546635000000 ,c1&p04;c1&p05
1546375500000 ,i14&e04&c5&p16
1546392600000 ,i06&l4;i43&l3
1546602000000 ,c1&p13&l4;c5&p35&l2
1546170300000 ,l2;l1;l3
1546518000000 ,i23&e10&p29&l3;i38&e09&p01&l2;i39&e01&p01&l3;i38&e10&p08&l2
1546286400000 ,e08
1546270500000 ,c1&p07;c5&p24;c1&p16
1546026300000 ,i06&p11
1546482900000 ,e08&l2;e01&l3;e10&l3
1546455900000 ,l2
1546872300000 ,i06&p16&l2
1547045100000 ,i21&p04&l3;i21&p01&l2;i38&p19&l2;i33&p10&l3
1546549500000 ,c5&l3;c1&l2;c5&l4
1546118700000 ,l3;l2
1546722300000 ,i14&p22
1546910700000 ,e08&p10;e11&p19
1546306500000 ,e01&c5&p07;e10&c1&p09
1546396200000 ,e04&c5&p19&l4
1546917300000 ,i39&e04&p35&l1;i01&e10&p18&l3;i06&e09&p22&l4;i46&e08&p35&l2
1546717800000 ,e11&c4&p03&l4;e08&c5&p06&l2;e04&c5&p35&l1
1547031900000 ,i13&p25;i23&p35;i13&p19
1546370100000 ,i23&p06&l3;i42&p14&l4
1546115700000 ,p16;p19
1546740900000 ,p20;p10
1546800300000 ,i38&p13;i14&p32;i06&p15
1546630500000 ,p06
1546515600000 ,p12
1546203900000 ,i14&p01&l2
1546950300000 ,p15;p17
1546616100000 ,e08;e01;e10
1546893900000 ,c4&p35&l1;c5&p22&l3
1546030200000 ,e10&c4&p05&l4;e10&c5&p28&l4
1545937800000 ,c5;c6
1546109100000 ,l4;l2;l1
1546290900000 ,l2;l3
1546714200000 ,e08
1547037000000 ,i06&e04&l4;i26&e04&l1
1545944400000 ,e08&p18&l2;e08&p13&l2
1546947900000 ,e03&c5&p10&l3;e10&c1&p30&l4;e13&c5&p10&l3
1546776900000 ,e01;e08;e09
1546896300000 ,i14&c5&p17&l1;i06&c5&p31&l2;i42&c3&p35&l2;i22&c5&p06&l2
1546023900000 ,l2;l3
1546553400000 ,i47&p10
1546636800000 ,e10&c1;e08&c1
1546701900000 ,p35;p21;p07
1546981500000 ,e08&c1
1546547400000 ,i02&e09&p28;i02&e01&p15
1547000400000 ,c1&p05;c5&p35;c5&p11;c5&p31
1546198800000 ,i43&e04&p01;i06&e04&p11;i17&e10&p09
1546809300000 ,i14&e08&p09
1546736400000 ,c1&p19;c5&p03
1546613400000 ,c1&p30;c1&p19
1546821000000 ,e08&c1&p02
1546104900000 ,e06&l3;e08&l2
1546541400000 ,l2;l1
1546867800000 ,c1&p08;c5&p15
1546567200000 ,c5&p03
1546785900000 ,i38&e07&p35;i46&e04&p12
1546475700000 ,c1&p07
1546907700000 ,c5&p29&l3
1546355700000 ,i13&p18
1546472100000 ,i06&e10&p25
1546971600000 ,i38&e10&p25;i12&e04&p14;i25&e10&p13;i38&e01&p10
1547049300000 ,l2
1546805400000 ,c1&l3
1546887000000 ,c1;c5
1546462500000 ,i06&p10
1546817700000 ,e10&c1;e11&c4
1546995600000 ,e09
1546648500000 ,e08&p26&l2;e10&p24&l3;e08&p20&l2;e04&p11&l1
1546526400000 ,c5&p35;c1&p31;c5&p10
1546904100000 ,e13&p10;e08&p35;e08&p21
1546191900000 ,l2
1546990200000 ,p21;p10
1545935700000 ,i38&e10&p01&l4;i06&e12&p10&l4
1546734300000 ,p21
1546558200000 ,e11&p04
1546389300000 ,l2
1546704000000 ,e08&c1&l2;e13&c3&l3;e08&c1&l4;e10&c5&l4
1546464900000 ,l2
1546993500000 ,i06&e10&p24;i06&e10&p32;i38&e10&p18
1546561500000 ,p07;p12
1546021800000 ,l3;l2;l4
1546040100000 ,e08&l2
1546625400000 ,c5&p21;c5&p19;c5&p01
1547049000000 ,i38&e08&l2;i22&e08&l2;i38&e10&l4
1546724700000 ,c5&p14;c5&p11;c1&p11;c1&p03
1546368000000 ,e12&c5&p02&l4;e11&c5&p19&l2;e10&c5&p19&l3
1546387200000 ,c1&p19;c5&p12;c1&p12
1546185600000 ,e11&c1&p22
1546441200000 ,e03&p35
1545952500000 ,l2
1546444200000 ,e03&c1&p01;e04&c5&p19
1546012800000 ,i42&e08
1546453800000 ,c4&l4;c1&l2
1546301400000 ,p05;p17;p19;p28
1546358400000 ,i14&e11&p30
1546385100000 ,c5&p15
1546196100000 ,p35&l2;p13&l3
1546099200000 ,i15
1546458300000 ,c1&p11;c5&p35
1546127700000 ,p10
1546377900000 ,c4&p01
1546646400000 ,p01&l4
1546531200000 ,c1&p21;c1&p15;c5&p08
1547046900000 ,i38&p13
1546796400000 ,i38&e10&p04&l4;i13&e11&p13&l2
1546284300000 ,i23&p07
1546538400000 ,c5&p05
1546032600000 ,p06&l3
1546983300000 ,e08&c5&p08&l2
1546292700000 ,l2;l3
1546638600000 ,c5&p02
1546732200000 ,i14&p01
1546528200000 ,c5&p25
1546856400000 ,c1&p08
1545926400000 ,p10&l3
1545847800000 ,c5&p03;c5&p09
1546788300000 ,i14&c3&p16&l1;i23&c5&p01&l3;i12&c5&p19&l2
1545933300000 ,e03;e08;e01
1546019700000 ,e03;e08;e05
1546213500000 ,i05&e08&p20;i06&e01&p05;i41&e07&p04
1546188000000 ,p14;p29
1546815600000 ,i06&e04&p10&l4;i06&e01&p19&l3
1546876800000 ,c1&p13;c1&p10;c1&p19
1546812000000 ,i33&p08
1546009800000 ,e12&p05;e13&p23
1546451700000 ,e10&c1&p04;e03&c5&p11;e05&c1&p35
1546963200000 ,e04&c5&p35;e13&c5&p13;e11&c1&p06;e10&c4&p22
1546299300000 ,e08;e04
1545865200000 ,c5&p09;c1&p03;c1&p06
1545946800000 ,i12&e04&p24;i02&e04&p18
1546709100000 ,l4;l2
1545841200000 ,p35
1546884900000 ,e11&p06
1546038000000 ,e01&c5;e10&c1;e08&c1
1546282200000 ,c1&p35;c5&p03
1546365900000 ,e08&p16;e04&p08
1546988100000 ,i13&e10&p15;i14&e10&p35
1546902000000 ,i42&p09&l4;i06&p32&l4
1546121100000 ,c5&p13;c5&p12
1546206300000 ,c5&p22;c1&p12
1546555200000 ,e10&c3&p09;e04&c5&p22;e10&c1&p32;e03&c5&p13
1546470000000 ,e01&c1&p04&l3;e10&c5&p15&l1;e01&c5&p21&l3
1546628400000 ,i38&c4&p16&l3;i06&c5&p02&l2;i14&c3&p19&l3
1546644300000 ,i06&e01&p13;i06&e10&p18
1546798200000 ,e09&c5&p32&l2;e10&c5&p07&l2
1545845100000 ,p18&l4
1546125600000 ,e12&c5&p12&l3;e07&c1&p28&l2
1546860300000 ,e10&p22;e10&p35;e04&p19
